n_valid_F,valid_source_fit,a,s,sigma,var_ell,normal_intercept,normal_slope,theta,log_s,log_sigma,exclusion_reason,model_id,org_id,reference_sha256,context,A,C,O,REL10,R50,ECE10,Brier,H,Margin,n_valid_source,valid_summaries
584,True,-0.6765069211341516,0.5360789483704392,0.34492201608168865,0.4063518360638128,9.505334114941408e-18,5.475072450206251e-17,-1.2619539028543876,-0.6234738370218037,-1.0644369278446775,,UCLA-AGI/zephyr-7b-sft-full-SPIN-iter2,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.663527397260274,0.37493200019707973,-0.28859539706319426,0.09075029484113654,0.23972602739726026,0.2911801576992128,0.6155649410148909,0.9311054977436847,0.11468148820653504,1168,True
584,True,-0.6808533724787302,0.5284484900605724,0.3418149803519234,0.39609528744028466,-6.083413833562501e-17,5.3229871043671886e-17,-1.2884006393900165,-0.6378099428294296,-1.0734856814321418,,UCLA-AGI/zephyr-7b-sft-full-SPIN-iter3,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.660958904109589,0.3735363898486311,-0.28742251426095794,0.09042380916572819,0.2482876712328767,0.2903200414266862,0.6168489379132452,0.9322308445430705,0.11322752734038717,1168,True
584,True,-0.6673329748771591,0.5554833180349014,0.35304015517494786,0.43319906778101447,8.630843376366799e-17,1.794607080900938e-16,-1.2013555640841589,-0.5879167008936096,-1.0411734744816605,,UCLA-AGI/zephyr-7b-sft-full-spin-iter1,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6583904109589042,0.378934639672445,-0.27945577128645915,0.08479811568715166,0.24143835616438356,0.28207905625430973,0.6133914441288623,0.928098919715151,0.11911817799496699,1168,True
584,True,-0.9392519895394867,0.21054170432935532,0.1803590219307884,0.07685718605374027,2.9656642438617197e-17,3.0417069167812506e-17,-4.461120862165117,-1.5580715251534627,-1.7128058483160555,,Unbabel/TowerBase-7B-v0.1,Unbabel,b51c9ab2abb52a9bc9bcd3ea7cc0337483675f6fbd8c6b86d3710b190117b156,outer3/test,0.5102739726027398,0.31028713538575914,-0.19998683721698063,0.042939706322963025,0.4143835616438356,0.20246771905967567,0.6980132112710316,0.9783098574591202,0.046247383799760435,1168,True
584,True,-0.8629838942148567,0.2992129211555365,0.253812465216099,0.15394913968550275,3.650048300137501e-17,1.8250241500687504e-17,-2.884179904003081,-1.2065998481340205,-1.3711596105812875,,Unbabel/TowerInstruct-7B-v0.1,Unbabel,b51c9ab2abb52a9bc9bcd3ea7cc0337483675f6fbd8c6b86d3710b190117b156,outer3/test,0.5547945205479452,0.3347437658772352,-0.22005075467071,0.05238629266963748,0.3527397260273973,0.22290536694458252,0.6741002370273491,0.9624220452119773,0.0707548359496023,1168,True
584,True,-0.7903614620824098,0.3213828905716967,0.3948433531275527,0.25918823586122847,-1.444810785471094e-17,2.4333655334250005e-17,-2.4592518309747713,-1.1351220611601238,-0.9292661670980491,,Undi95/Amethyst-13B,Undi95,51e48e27e6543176a500d10ba86f7287b9506fd079adf8970f529e7f72afd1e3,outer4/test,0.6267123287671232,0.3466272088722947,-0.28008511989482854,0.08652131387396401,0.2654109589041096,0.2822714685470179,0.6463275811299268,0.9544815075768697,0.08322939369432909,1168,True
584,True,-0.7903614620824098,0.3213828905716967,0.3948433531275527,0.25918823586122847,-1.444810785471094e-17,2.4333655334250005e-17,-2.4592518309747713,-1.1351220611601238,-0.9292661670980491,,Undi95/Amethyst-13B-Mistral,Undi95,51e48e27e6543176a500d10ba86f7287b9506fd079adf8970f529e7f72afd1e3,outer4/test,0.6267123287671232,0.3466272088722947,-0.28008511989482854,0.08652131387396401,0.2654109589041096,0.2822714685470179,0.6463275811299268,0.9544815075768697,0.08322939369432909,1168,True
584,True,-0.8726786813281014,0.2556878530521123,0.2379012293530129,0.12197327312607337,-2.8516002344824225e-18,9.125120750343752e-18,-3.4130627282878354,-1.3637979024981182,-1.435899694166556,,Undi95/Borealis-10.7B-DPO,Undi95,51e48e27e6543176a500d10ba86f7287b9506fd079adf8970f529e7f72afd1e3,outer4/test,0.5796232876712328,0.3237774060854221,-0.25584588158581073,0.07102640003870105,0.3133561643835616,0.25706086377715476,0.6716146034124676,0.9707089756054235,0.06018572233016174,1168,True
584,True,-0.7879140767238464,0.32631954784055484,0.27888887599301293,0.18426345245551032,1.0493888862895315e-16,3.954218991815626e-17,-2.4145475866767083,-1.1198781696058275,-1.2769418704327207,,Undi95/C-Based-2x7B,Undi95,51e48e27e6543176a500d10ba86f7287b9506fd079adf8970f529e7f72afd1e3,outer4/test,0.6549657534246576,0.33890380431112993,-0.31606194911352764,0.105933209964982,0.2482876712328767,0.3174842926879806,0.6445726967061511,0.9593515410583934,0.07650496302690254,1168,True
584,True,-0.8694718403965321,0.24870213042959272,0.24761934306710529,0.12316808874120294,-2.1291948417468754e-17,6.083413833562501e-18,-3.496036961543756,-1.3914993619465301,-1.3958626189811356,,Undi95/Clover3-17B,Undi95,51e48e27e6543176a500d10ba86f7287b9506fd079adf8970f529e7f72afd1e3,outer4/test,0.598458904109589,0.3229228191003158,-0.27553608500927323,0.08411542253801535,0.2910958904109589,0.2795917895811109,0.6734164753622265,0.9717478360258892,0.05766385568573742,1168,True
