model_id,org_id,A,C,O,REL10,R50,n_valid_source
jsfs11/WestOrcaNeuralMarco-DPO-v2-DARETIES-7B,jsfs11,0.7188034188034188,0.38747666907782974,-0.33132674972558906,0.11941989253387558,0.18803418803418803,1170
jsfs11/WildMBXMarconi-SLERP-7B,jsfs11,0.7324786324786324,0.40351205001105045,-0.328966582467582,0.1174125752351407,0.17606837606837608,1170
jsk0214/Seagull-llama-3-8B-orpo-v0.4,jsk0214,0.5803418803418804,0.3226467716611374,-0.25769510868074297,0.07387467177868817,0.29743589743589743,1170
jsk0214/Seagull-llama-3-8B-orpo-v0.5,jsk0214,0.5811965811965812,0.32180211158635913,-0.2593944696102221,0.07477794862575285,0.3094017094017094,1170
jslin09/bloom-560m-finetuned-fraud,jslin09,0.27008547008547007,0.6293474263168601,0.35926195623139007,0.17033507814848592,0.7487179487179487,1170
juhwanlee/experiment2-cause-v1,juhwanlee,0.6102564102564103,0.32165909579926044,-0.28859731445714987,0.08969204137791066,0.27863247863247864,1170
juhwanlee/experiment2-non-cause-v1,juhwanlee,0.6153846153846154,0.3229924588488616,-0.29239215653575384,0.09034812319596527,0.28205128205128205,1170
juhwanlee/gemma-7B-alpaca-case-0-2,juhwanlee,0.6222222222222222,0.32853750064059656,-0.2936847215816257,0.09343501751136878,0.2547008547008547,1170
juhwanlee/gemma-7B-alpaca-case-0-3,juhwanlee,0.2726495726495726,0.4456116997464144,0.17296212709684178,0.05844957981117443,0.7435897435897436,1170
juhwanlee/gemma-7B-alpaca-case-1-2,juhwanlee,0.6205128205128205,0.3308055982051493,-0.2897072223076712,0.08946662357053722,0.27521367521367524,1170
juhwanlee/gemma-7B-alpaca-case-1-3,juhwanlee,0.2504273504273504,0.39688164939905846,0.14645429897170803,0.04110440424589706,0.7623931623931623,1170
juhwanlee/gemma-7B-alpaca-case-2-2,juhwanlee,0.5145299145299145,0.32855108063852445,-0.18597883389139003,0.03850995988172714,0.4017094017094017,1170
juhwanlee/gemma-7B-alpaca-case-2-3,juhwanlee,0.2564102564102564,0.35582604886567853,0.09941579245542215,0.02678560212218313,0.7555555555555555,1170
